671029575149879296,Perri2van,OuaHOuuu C était WELSH ment fat Merci à la IziaTeam Je veux la fin de la story VLille,0,4
670430230981566464,TwoHalvesSB,Mais lolqui te préléve de l argent sur ton compte sans avoir à utiliser leur service Remboursement s il vous plaît,0,2
670224403557425153,NezahOG,Mdr tout le monde prend un vlille mais quand c est à mon tour la station est indisponible nvm un peu,0,2
669944598693814272,markstinchcombe,7+ LFC corners 5/6 Klopp 14 vPalace  10 vSaints 15 vRubin at Anfield Bordeaux conceded 8 v us & 11 vPSG 12 vLille 10 v Monaco,0,2
669914580756381696,Natan_Coonen,J ai lu qu il devait y avoir une stationà l union près du,0,2
669783504625016832,thomaslevivier,Il arrive le le même genre de mésaventures à un lillois avec le VLille,0,2
669286766621233152,rastaforet,Tourcoing - Lille en VLille completement torché à 2h du mat  Je vais dire que c est assez vivifiant,0,4
669253362613927937,Elodievpl,Moi j ai découvert un nouvel usage de la bande réfléchissante : racleur de givre sur la selle et les poignées du Vlille,0,4
669064109732810752,PPalmier,Ce matin j ai confié mon vlille pliant à ma chef de projet pour testerelle est revenue enchantée,0,4
669061952908447744,transpole_actu,Ce matin j ai confié mon vlille pliant à ma chef de projet pour testerelle est revenue enchantée,0,4
668929402667966464,leovxn,regardez euro sans arabes sur d vlille,0,2
668880776809881600,jeanderoi,Ce matin j ai confié mon vlille pliant à ma chef de projet pour testerelle est revenue enchantée,0,4
668711207008927744,ignorantcowboy,Prévoyez aussi un grattoir pour dégeler la selle et pas faire votre trajet debout sur leélo,0,2
668711185794146304,ignorantcowboy,Si vous avez prévu de prendre unce matin prévoyez quelques minutes pour dégivrer le bouton pour délivrer leélo,0,2
668698285218115584,MatttRab,Si vous avez prévu de prendre unce matin prévoyez quelques minutes pour dégivrer le bouton pour délivrer leélo,0,2
671270929113198592,Adam_Lostys,Les abonnements transpole qui doublent c est une blague mdrr,0,2
671270453898530816,nab59100,Chaque semaine  Transpole vous informe de certains contrôles,0,4
671268688457256960,transpole_actu,présente son album "Éternels jusqu’à demain" ce soir auéatreSebastopol - 20H,0,4
671243636139540480,namtohh,L appli Transpole elle m zhfff,0,2
671241094504558592,bouilton,eh la c gros fils de pute 2 transpole si mes parents y sont convoqué a cause dleurs retard on va voir,0,2
671236622420221952,houach,Chaque semaine  Transpole vous informe de certains contrôles,0,4
671236589922725888,McklnAlxs,Transpole vos agents ils ne pourraient pas servir à qqch et virer les alcooliques qui font chier les gens des stations de metro,0,2
671235070678708224,hxlgd_,eh la c gros fils de pute 2 transpole si mes parents y sont convoqué a cause dleurs retard on va voir,0,2
671232612371931136,arthuuurcss,j pense que j ss enter par transpole dès que je bipe(presque jms) je me fais pas contrôler et des que je bipe pas je me fais contrôler mdr,0,2
671229996892102656,MatouFoucher,bonjour  est ce que le 50 vers St André repasse bien rue de la Madeleine Et non à l arrêt provisoire,0,2
671222665898782720,Cocolf,Pour envoyer des augmentations de tarifs ça va  mais pour faire arriver les bus a l heure la y a plus personne chez,0,2
